Component,contributor,dataset_id,dataset_name,dataset_type,num_items,metadata_check,upload_date,release_date,released_destinations,scheduled_release_date,released,status,dataset_size,governance_compliance
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22316952,Raw Data,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22317830,Immunohistochemistry (3 mo old animals),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22725170,Electron Microscopy of optic nerve - Nf1-OPG mice (3 mo old animals),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22761358,Immunohistochemistry (5 mo old animals),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22889489,Aim 3 (non-NF1 animal) data,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22889499,qPCR analysis,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn22410515,RNASeq,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn22410517,RNA-seq Test 2,RNASeqTemplate,4,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn24611057,Sample Seq Data,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn24611067,Sample Imaging Data,ImagingAssayTemplate,3,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn25007853,App Demo,GenomicsAssayTemplate,1,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn25386362,RNA Sequencing 03-29-21,GenomicsAssayTemplate,2,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn25750653,RNA-seq batch subset,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn48391539,Another RNA-seq folder,GenomicsAssayTemplate,1,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn53181344,Whole Genome Sequencing,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn25881331,Raw Data,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33298098,"Fetal Brain, Olig2 Imaging",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33303256,"Fetal Brain, Ki67 Imaging",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33303262,"Fetal Brain, GFAP Imaging",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33732747,GFAP Milestone 1-2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33754177,Ki67 Milestone 1-2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33754756,Olig2 Milestone 1-2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn50613381,"Optic Nerve, Raw Images",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn50613382,"Optic Nerve, Ki67 Staining",,,FALSE,,,,,FALSE,,,FALSE
